family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,14,nbs,3820,104.403040,104.403000,8.531,ok,742.0,5.1482479784366575
industrial-plants,plant01,diag,14,gbfs,150,108.044837,104.403000,1.019,subopt,742.0,0.20215633423180593
industrial-plants,plant01,diag,15,astar,800,126.375009,126.375000,2.155,ok,706.0,1.13314447592068
industrial-plants,plant01,diag,15,rastar,87669,126.375009,126.375000,251.747,ok,706.0,124.1770538243626
industrial-plants,plant01,diag,15,mm,43625,126.375009,126.375000,329.181,ok,706.0,61.79178470254958
industrial-plants,plant01,diag,15,bia,1515,126.375009,126.375000,5.061,ok,706.0,2.1458923512747874
industrial-plants,plant01,diag,15,bae,31883,126.375009,126.375000,125.446,ok,706.0,45.1600566572238
industrial-plants,plant01,diag,15,nbs,9736,126.375009,126.375000,22.869,ok,706.0,13.790368271954675
industrial-plants,plant01,diag,15,gbfs,220,134.018264,126.375000,1.291,subopt,706.0,0.311614730878187
industrial-plants,plant01,diag,16,astar,801,63.213203,63.213200,1.850,ok,797.0,1.0050188205771644
industrial-plants,plant01,diag,16,rastar,7039,63.213203,63.213200,15.505,ok,797.0,8.831869510664994
industrial-plants,plant01,diag,16,mm,4781,63.213203,63.213200,264.687,ok,797.0,5.998745294855709
industrial-plants,plant01,diag,16,bia,1555,63.213203,63.213200,3.806,ok,797.0,1.9510664993726474
industrial-plants,plant01,diag,16,bae,2683,63.213203,63.213200,6.933,ok,797.0,3.366373902132999
industrial-plants,plant01,diag,16,nbs,1554,63.213203,63.213200,3.542,ok,797.0,1.9498117942283564
industrial-plants,plant01,diag,16,gbfs,120,65.899495,63.213200,0.503,subopt,797.0,0.15056461731493098
industrial-plants,plant01,diag,17,astar,801,139.756630,139.757000,1.949,ok,683.0,1.1727672035139092
industrial-plants,plant01,diag,17,rastar,2126,139.756630,139.757000,4.786,ok,683.0,3.1127379209370423
industrial-plants,plant01,diag,17,mm,2053,139.756630,139.757000,10.673,ok,683.0,3.005856515373353
industrial-plants,plant01,diag,17,bia,1411,139.756630,139.757000,3.761,ok,683.0,2.0658857979502194
industrial-plants,plant01,diag,17,bae,2227,139.756630,139.757000,5.730,ok,683.0,3.260614934114202
industrial-plants,plant01,diag,17,nbs,2488,139.756630,139.757000,5.927,ok,683.0,3.6427525622254757
industrial-plants,plant01,diag,17,gbfs,240,147.802390,139.757000,0.993,subopt,683.0,0.3513909224011713
industrial-plants,plant01,diag,18,astar,801,80.485281,80.485300,1.874,ok,736.0,1.0883152173913044
industrial-plants,plant01,diag,18,rastar,9818,80.485281,80.485300,19.903,ok,736.0,13.339673913043478
industrial-plants,plant01,diag,18,mm,7004,80.485281,80.485300,33.483,ok,736.0,9.516304347826088
industrial-plants,plant01,diag,18,bia,1493,80.485281,80.485300,3.473,ok,736.0,2.0285326086956523
industrial-plants,plant01,diag,18,bae,5311,80.485281,80.485300,13.702,ok,736.0,7.216032608695652
industrial-plants,plant01,diag,18,nbs,2194,80.485281,80.485300,4.920,ok,736.0,2.9809782608695654
industrial-plants,plant01,diag,18,gbfs,150,82.777810,80.485300,0.577,subopt,736.0,0.20380434782608695
industrial-plants,plant01,diag,19,astar,801,69.137278,69.137300,1.911,ok,753.0,1.0637450199203187
industrial-plants,plant01,diag,19,rastar,12781,69.137278,69.137300,31.340,ok,753.0,16.9734395750332
