family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,24,astar,1600,91.438600,91.438600,3.679,ok,1598.0,1.0012515644555695
industrial-plants,plant01,diag,24,rastar,19740,91.438600,91.438600,52.778,ok,1598.0,12.352941176470589
industrial-plants,plant01,diag,24,mm,13681,91.438600,91.438600,2798.056,ok,1598.0,8.561326658322903
industrial-plants,plant01,diag,24,bia,2781,91.438600,91.438600,6.818,ok,1598.0,1.7403003754693367
industrial-plants,plant01,diag,24,bae,8433,91.438600,91.438600,24.816,ok,1598.0,5.277221526908636
industrial-plants,plant01,diag,24,nbs,3100,91.438600,91.438600,7.061,ok,1598.0,1.9399249061326658
industrial-plants,plant01,diag,24,gbfs,142,104.576800,91.438600,0.730,subopt,1598.0,0.08886107634543179
industrial-plants,plant01,diag,25,astar,1600,117.148690,117.149000,3.776,ok,1532.0,1.0443864229765014
industrial-plants,plant01,diag,25,rastar,49097,117.148690,117.149000,146.098,ok,1532.0,32.047650130548305
industrial-plants,plant01,diag,25,mm,31810,117.148690,117.149000,255.399,ok,1532.0,20.763707571801568
industrial-plants,plant01,diag,25,bia,3195,117.148690,117.149000,9.185,ok,1532.0,2.085509138381201
industrial-plants,plant01,diag,25,bae,43358,117.148690,117.149000,205.876,ok,1532.0,28.301566579634464
industrial-plants,plant01,diag,25,nbs,27678,117.148690,117.149000,71.101,ok,1532.0,18.066579634464752
industrial-plants,plant01,diag,25,gbfs,158,118.805544,117.149000,1.037,subopt,1532.0,0.1031331592689295
industrial-plants,plant01,diag,26,astar,1600,102.245795,102.246000,4.312,ok,334.0,4.790419161676646
industrial-plants,plant01,diag,26,rastar,6692,102.245795,102.246000,16.495,ok,334.0,20.035928143712574
industrial-plants,plant01,diag,26,mm,3419,102.245795,102.246000,151.611,ok,334.0,10.236526946107784
industrial-plants,plant01,diag,26,bia,3155,102.245795,102.246000,9.868,ok,334.0,9.446107784431138
industrial-plants,plant01,diag,26,bae,1453,102.245795,102.246000,5.268,ok,334.0,4.350299401197605
industrial-plants,plant01,diag,26,nbs,7652,102.245795,102.246000,18.318,ok,334.0,22.910179640718564
industrial-plants,plant01,diag,26,gbfs,138,104.923829,102.246000,1.105,subopt,334.0,0.41317365269461076
industrial-plants,plant01,diag,27,astar,1601,72.120227,72.120200,3.618,ok,1548.0,1.0342377260981912
industrial-plants,plant01,diag,27,rastar,27448,72.120227,72.120200,68.795,ok,1548.0,17.7312661498708
industrial-plants,plant01,diag,27,mm,25564,72.120227,72.120200,217.988,ok,1548.0,16.51421188630491
industrial-plants,plant01,diag,27,bia,3157,72.120227,72.120200,8.059,ok,1548.0,2.039405684754522
industrial-plants,plant01,diag,27,bae,14896,72.120227,72.120200,49.169,ok,1548.0,9.622739018087856
industrial-plants,plant01,diag,27,nbs,5368,72.120227,72.120200,12.472,ok,1548.0,3.4677002583979326
industrial-plants,plant01,diag,27,gbfs,352,78.555620,72.120200,1.228,subopt,1548.0,0.22739018087855298
industrial-plants,plant01,diag,28,astar,1601,89.970563,89.970600,3.562,ok,1532.0,1.0450391644908616
industrial-plants,plant01,diag,28,rastar,27741,89.970563,89.970600,73.393,ok,1532.0,18.107702349869452
industrial-plants,plant01,diag,28,mm,20390,89.970563,89.970600,152.233,ok,1532.0,13.309399477806789
industrial-plants,plant01,diag,28,bia,3091,89.970563,89.970600,7.994,ok,1532.0,2.0176240208877285
industrial-plants,plant01,diag,28,bae,13086,89.970563,89.970600,42.232,ok,1532.0,8.54177545691906
industrial-plants,plant01,diag,28,nbs,4534,89.970563,89.970600,10.726,ok,1532.0,2.9595300261096606
industrial-plants,plant01,diag,28,gbfs,164,92.263091,89.970600,0.695,subopt,1532.0,0.10704960835509138
industrial-plants,plant01,diag,29,astar,1601,183.773436,183.773000,3.805,ok,1469.0,1.089857045609258
industrial-plants,plant01,diag,29,rastar,253097,183.773436,183.773000,915.945,ok,1469.0,172.2920353982301
industrial-plants,plant01,diag,29,mm,150764,183.773436,183.773000,1584.173,ok,1469.0,102.63036078965283
industrial-plants,plant01,diag,29,bia,3197,183.773436,183.773000,9.574,ok,1469.0,2.1763104152484685
industrial-plants,plant01,diag,29,bae,96509,183.773436,183.773000,448.472,ok,1469.0,65.69707283866576
industrial-plants,plant01,diag,29,nbs,79938,183.773436,183.773000,229.138,ok,1469.0,54.416609938733835
industrial-plants,plant01,diag,29,gbfs,292,188.436413,183.773000,1.622,subopt,1469.0,0.19877467665078286
industrial-plants,plant01,diag,30,astar,2398,49.262363,49.262400,5.080,ok,2395.0,1.0012526096033403
industrial-plants,plant01,diag,30,rastar,3411,49.262363,49.262400,7.329,ok,2395.0,1.4242171189979123
industrial-plants,plant01,diag,30,mm,3658,49.262363,49.262400,317.733,ok,2395.0,1.527348643006263
industrial-plants,plant01,diag,30,bia,3565,49.262363,49.262400,8.817,ok,2395.0,1.488517745302714
industrial-plants,plant01,diag,30,bae,4071,49.262363,49.262400,11.175,ok,2395.0,1.6997912317327766
industrial-plants,plant01,diag,30,nbs,3690,49.262363,49.262400,7.816,ok,2395.0,1.5407098121085594
industrial-plants,plant01,diag,30,gbfs,68,51.554891,49.262400,0.451,subopt,2395.0,0.028392484342379957
industrial-plants,plant01,diag,31,astar,2398,56.747644,56.747600,5.152,ok,2386.0,1.0050293378038557
industrial-plants,plant01,diag,31,rastar,4242,56.747644,56.747600,9.668,ok,2386.0,1.7778709136630344
industrial-plants,plant01,diag,31,mm,5118,56.747644,56.747600,491.019,ok,2386.0,2.1450125733445096
industrial-plants,plant01,diag,31,bia,4073,56.747644,56.747600,10.582,ok,2386.0,1.7070410729253982
industrial-plants,plant01,diag,31,bae,4527,56.747644,56.747600,13.077,ok,2386.0,1.8973176865046102
industrial-plants,plant01,diag,31,nbs,4728,56.747644,56.747600,10.504,ok,2386.0,1.9815590947191952
industrial-plants,plant01,diag,31,gbfs,78,58.404498,56.747600,0.478,subopt,2386.0,0.03269069572506287
industrial-plants,plant01,diag,32,astar,2398,89.919217,89.919200,5.477,ok,2319.0,1.0340664079344546
industrial-plants,plant01,diag,32,rastar,26918,89.919217,89.919200,68.249,ok,2319.0,11.607589478223373
industrial-plants,plant01,diag,32,mm,18134,89.919217,89.919200,8144.515,ok,2319.0,7.819749892194912
industrial-plants,plant01,diag,32,bia,4725,89.919217,89.919200,12.604,ok,2319.0,2.03751617076326
industrial-plants,plant01,diag,32,bae,14690,89.919217,89.919200,46.075,ok,2319.0,6.334626994394135
industrial-plants,plant01,diag,32,nbs,5220,89.919217,89.919200,12.523,ok,2319.0,2.2509702457956013
industrial-plants,plant01,diag,32,gbfs,164,92.263091,89.919200,0.741,subopt,2319.0,0.07072013799051315
industrial-plants,plant01,diag,33,astar,2398,83.640287,83.640300,5.199,ok,2345.0,1.0226012793176973
