family,map,config,instance,alg,expanded,mvc,exp_over_mvc
sandstone,BanderaBrown,nodiag,293,mm,316748,316946.0,0.9993752879039332
sandstone,BanderaBrown,nodiag,442,mm,2293685,2300230.0,0.9971546323628506
sandstone,BanderaBrown,nodiag,479,mm,1353651,1355450.0,0.9986727655022317
sandstone,BanderaGray,nodiag,24,mm,1033074,1034437.0,0.9986823750503897
sandstone,BanderaGray,nodiag,111,mm,1770678,1773386.0,0.9984729776822417
sandstone,BanderaGray,nodiag,117,mm,881837,883963.0,0.9975949219594032
sandstone,BanderaGray,nodiag,336,mm,1178893,1180872.0,0.9983241198029931
sandstone,Bentheimer,nodiag,388,mm,1427203,1427684.0,0.9996630907119503
sandstone,Bentheimer,nodiag,426,mm,330016,331027.0,0.9969458684639018
sandstone,Berea,nodiag,218,mm,1506778,1509045.0,0.9984977253826095
sandstone,Berea,nodiag,355,mm,999577,1003262.0,0.9963269813867165
sandstone,CastleGate,nodiag,57,mm,1578082,1581715.0,0.9977031260372444
sandstone,CastleGate,nodiag,93,mm,1778798,1783963.0,0.9971047605807968
sandstone,CastleGate,nodiag,185,mm,796270,796283.0,0.9999836741460009
sandstone,CastleGate,nodiag,235,mm,925960,929490.0,0.9962022184208544
sandstone,Kirby,nodiag,253,mm,502120,502183.0,0.9998745477246342
sandstone,Leopard,nodiag,216,mm,1034130,1035465.0,0.998710724167403
sandstone,Parker,nodiag,324,mm,816773,819631.0,0.996513065025603
sandstone,Parker,nodiag,356,mm,2365262,2367635.0,0.9989977340257261
sandstone,Parker,nodiag,410,mm,2329001,2332478.0,0.9985093106987504
descent,level02,nodiag,0,nbs,3720854,3736209.0,0.9958902192034761
descent,level02,nodiag,2,nbs,2181414,2633486.0,0.8283370407133359
descent,level02,nodiag,8,nbs,1364682,1953395.0,0.6986206066873315
descent,level02,nodiag,16,nbs,3609112,3611611.0,0.9993080650158613
descent,level02,nodiag,23,nbs,2181414,2695080.0,0.8094060287635246
descent,level02,nodiag,25,nbs,2186040,2739912.0,0.797850441912003
descent,level02,nodiag,27,nbs,2182756,2599496.0,0.8396843080350961
descent,level02,nodiag,34,nbs,2185716,2784393.0,0.7849883260013942
descent,level02,nodiag,40,nbs,1562548,2355540.0,0.6633502296713281
descent,level02,nodiag,41,nbs,2182756,2688195.0,0.8119782977053376
descent,level02,nodiag,46,nbs,2124926,2897163.0,0.7334506204863172
descent,level02,nodiag,47,nbs,2181414,2677681.0,0.8146653764955571
descent,level02,nodiag,49,nbs,2189746,2834296.0,0.7725890309269039
descent,level02,nodiag,50,nbs,1878674,2126920.0,0.8832838094521656
descent,level02,nodiag,53,nbs,1484980,2380912.0,0.6237021779889387
descent,level02,nodiag,54,nbs,1607998,2038020.0,0.7890001079479102
descent,level02,nodiag,56,nbs,2181414,2692257.0,0.8102547416535643
descent,level02,nodiag,57,nbs,2179320,2383789.0,0.9142252103688707
descent,level02,nodiag,59,nbs,2181414,2713890.0,0.8037960271050043
descent,level02,nodiag,68,nbs,1987654,2277583.0,0.8727032121332131
descent,level02,nodiag,69,nbs,2180056,2383789.0,0.9145339625277237
descent,level02,nodiag,71,nbs,2181414,2619117.0,0.8328814634855946
descent,level02,nodiag,73,nbs,2199850,3193277.0,0.6889004618139923
descent,level02,nodiag,75,nbs,1783340,2953828.0,0.6037386063101846
descent,level02,nodiag,79,nbs,2185716,2910757.0,0.7509098148694652
descent,level02,nodiag,80,nbs,2032080,2376825.0,0.854955665646398
