VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
66,nbs,38530,968290,115.410569,115.411000,19.397,1
66,gbfs,174,0,118.338772,115.411000,0.181,0
67,astar,4797,102753,95.970563,95.970600,2.870,1
67,rastar,53634,1336694,95.970563,95.970600,30.326,1
67,mm,50510,1250769,95.970563,95.970600,85.443,1
67,bae,24994,588243,95.970563,95.970600,13.798,1
67,nbs,10476,243376,95.970563,95.970600,5.853,1
67,gbfs,220,0,101.334159,95.970600,0.161,0
68,astar,4797,116926,149.914307,149.914000,3.201,1
68,rastar,138582,3534948,149.914307,149.914000,85.709,1
68,mm,79833,2032533,149.914307,149.914000,160.937,1
68,bae,84133,2142767,149.914307,149.914000,55.991,1
68,nbs,18878,472650,149.914307,149.914000,9.197,1
68,gbfs,238,0,153.845233,149.914000,0.199,0
69,astar,4797,116302,120.317108,120.317000,3.936,1
69,rastar,115249,2936146,120.317108,120.317000,63.448,1
69,mm,88585,2266287,120.317108,120.317000,181.546,1
69,bae,44406,1120227,120.317108,120.317000,25.765,1
69,nbs,12364,307714,120.317108,120.317000,6.539,1
69,gbfs,846,0,123.727193,120.317000,0.773,0
70,astar,5588,132515,56.605508,56.605500,4.199,1
70,rastar,6547,155406,56.605508,56.605500,3.396,1
70,mm,8969,214105,56.605508,56.605500,402.182,1
70,bae,8278,197222,56.605508,56.605500,4.809,1
70,nbs,9202,219461,56.605508,56.605500,4.746,1
70,gbfs,86,0,58.898037,56.605500,0.098,0
71,astar,5589,140478,154.728406,154.728000,3.121,1
71,rastar,38825,993732,154.728406,154.728000,21.524,1
71,mm,36362,933473,154.728406,154.728000,79.195,1
71,bae,19615,492512,154.728406,154.728000,10.606,1
71,nbs,16578,417778,154.728406,154.728000,7.955,1
71,gbfs,298,0,169.565091,154.728000,0.247,0
72,astar,5590,132420,96.880793,96.880800,3.385,1
72,rastar,6616,157593,96.880793,96.880800,3.633,1
72,mm,7552,178562,96.880793,96.880800,510.360,1
72,bae,8213,194236,96.880793,96.880800,4.322,1
72,nbs,7980,188844,96.880793,96.880800,3.741,1
72,gbfs,96,0,98.248518,96.880800,0.108,0
73,astar,5590,135045,77.429807,77.429800,2.960,1
73,rastar,24794,602736,77.429807,77.429800,13.963,1
73,mm,26734,652650,77.429807,77.429800,43.970,1
73,bae,22975,561974,77.429807,77.429800,12.807,1
73,nbs,12490,302443,77.429807,77.429800,6.260,1
73,gbfs,138,0,80.698485,77.429800,0.108,0
74,astar,5590,119835,116.091519,116.092000,3.306,1
74,rastar,78324,1935794,116.091519,116.092000,43.498,1
74,mm,61011,1505747,116.091519,116.092000,2241.548,1
74,bae,26407,624885,116.091519,116.092000,14.958,1
74,nbs,11144,254937,116.091519,116.092000,5.217,1
74,gbfs,382,0,126.622559,116.092000,0.261,0
75,astar,5591,134669,53.698485,53.698500,3.791,1
75,rastar,6722,163454,53.698485,53.698500,3.594,1
75,mm,9721,236477,53.698485,53.698500,479.696,1
75,bae,7909,190388,53.698485,53.698500,4.568,1
75,nbs,10210,248678,53.698485,53.698500,5.455,1
75,gbfs,330,0,62.192024,53.698500,0.210,0
76,astar,5592,134311,122.418097,122.418000,3.273,1
76,rastar,119857,3029630,122.418097,122.418000,71.207,1
76,mm,76224,1914697,122.418097,122.418000,3669.255,1
76,bae,92906,2350875,122.418097,122.418000,59.994,1
76,nbs,39342,981707,122.418097,122.418000,19.998,1
76,gbfs,194,0,127.192508,122.418000,0.183,0
77,astar,5592,134119,81.727193,81.727200,4.134,1
77,rastar,52359,1329408,81.727193,81.727200,30.397,1
77,mm,53344,1354243,81.727193,81.727200,86.998,1
77,bae,36880,916523,81.727193,81.727200,21.738,1
77,nbs,13248,325473,81.727193,81.727200,6.654,1
77,gbfs,212,0,85.040902,81.727200,0.173,0
78,astar,5592,128730,160.483631,160.484000,3.399,1
78,rastar,66127,1686433,160.483631,160.484000,36.861,1
78,mm,62718,1605702,160.483631,160.484000,132.451,1
78,bae,48983,1228909,160.483631,160.484000,25.655,1
78,nbs,29995,751913,160.483631,160.484000,14.130,1
78,gbfs,272,0,166.781017,160.484000,0.220,0
79,astar,5592,131750,63.369667,63.369700,3.742,1
79,rastar,8548,204350,63.369667,63.369700,4.796,1
79,mm,9081,217013,63.369667,63.369700,597.751,1
79,bae,5607,134009,63.369667,63.369700,4.099,1
79,nbs,8854,211327,63.369667,63.369700,4.541,1
79,gbfs,94,0,65.990285,63.369700,0.109,0
80,astar,6382,159657,125.903379,125.903000,3.848,1
80,rastar,7160,176858,125.903379,125.903000,4.280,1
80,mm,11040,274336,125.903379,125.903000,21.400,1
80,bae,12605,313324,125.903379,125.903000,6.580,1
80,nbs,11245,279762,125.903379,125.903000,5.675,1
80,gbfs,192,0,128.581413,125.903000,0.187,0
81,astar,6382,154185,55.526912,55.526900,3.688,1
81,rastar,8023,196110,55.526912,55.526900,4.384,1
