VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
47,astar,3201,80098,142.951132,142.951000,1.812,1
47,rastar,13934,352858,142.951132,142.951000,7.752,1
47,mm,15165,383696,142.951132,142.951000,23.562,1
47,bae,11347,279682,142.951132,142.951000,6.108,1
47,nbs,15296,381813,142.951132,142.951000,7.549,1
47,gbfs,240,0,151.387983,142.951000,0.207,0
48,astar,3200,68798,86.254834,86.254800,1.805,1
48,rastar,8012,172980,86.254834,86.254800,3.877,1
48,mm,6802,147462,86.254834,86.254800,206.393,1
48,bae,6218,141137,86.254834,86.254800,3.258,1
48,nbs,5612,121553,86.254834,86.254800,2.462,1
48,gbfs,192,0,99.970563,86.254800,0.130,0
49,astar,3200,68666,75.627417,75.627400,1.560,1
49,rastar,17306,409835,75.627417,75.627400,9.401,1
49,mm,18271,426581,75.627417,75.627400,22.980,1
49,bae,13351,305069,75.627417,75.627400,6.894,1
49,nbs,7240,161066,75.627417,75.627400,3.311,1
49,gbfs,132,0,77.919946,75.627400,0.100,0
50,astar,3995,86168,113.919217,113.919000,2.525,1
50,rastar,40024,961173,113.919217,113.919000,22.474,1
50,mm,23581,557691,113.919217,113.919000,634.135,1
50,bae,13678,325629,113.919217,113.919000,7.190,1
50,nbs,8180,182937,113.919217,113.919000,3.875,1
50,gbfs,178,0,117.292529,113.919000,0.122,0
51,astar,3995,95819,48.242641,48.242600,2.583,1
51,rastar,4553,109697,48.242641,48.242600,2.444,1
51,mm,7145,173065,48.242641,48.242600,79.547,1
51,bae,5937,143802,48.242641,48.242600,3.222,1
51,nbs,7476,181095,48.242641,48.242600,3.792,1
51,gbfs,544,0,49.899495,48.242600,0.301,0
52,astar,3996,95653,87.069610,87.069600,2.159,1
52,rastar,22523,568982,87.069610,87.069600,12.274,1
52,mm,24424,617477,87.069610,87.069600,37.262,1
52,bae,18932,469955,87.069610,87.069600,10.183,1
52,nbs,10746,264578,87.069610,87.069600,5.521,1
52,gbfs,1568,0,95.112698,87.069600,0.965,0
53,astar,3996,85975,70.740115,70.740100,2.186,1
53,rastar,7324,177213,70.740115,70.740100,4.192,1
53,mm,10946,255544,70.740115,70.740100,19.079,1
53,bae,8769,200088,70.740115,70.740100,4.667,1
53,nbs,8196,188508,70.740115,70.740100,4.172,1
53,gbfs,104,0,73.032644,70.740100,0.111,0
54,astar,3997,97404,59.242641,59.242600,2.418,1
54,rastar,8903,215860,59.242641,59.242600,4.943,1
54,mm,6740,162506,59.242641,59.242600,258.359,1
54,bae,1994,46725,59.242641,59.242600,1.137,1
54,nbs,6864,165676,59.242641,59.242600,3.558,1
54,gbfs,190,0,63.727922,59.242600,0.125,0
55,astar,3997,85608,76.539105,76.539100,2.000,1
55,rastar,6613,158706,76.539105,76.539100,3.446,1
55,mm,9507,221508,76.539105,76.539100,268.661,1
55,bae,8670,197121,76.539105,76.539100,3.908,1
55,nbs,7866,179799,76.539105,76.539100,3.531,1
55,gbfs,246,0,94.606237,76.539100,0.159,0
56,astar,3997,86671,142.668074,142.668000,2.270,1
56,rastar,55178,1405169,142.668074,142.668000,32.434,1
56,mm,45086,1144760,142.668074,142.668000,80.256,1
56,bae,23040,566100,142.668074,142.668000,12.882,1
56,nbs,9544,226404,142.668074,142.668000,4.468,1
56,gbfs,196,0,145.279845,142.668000,0.192,0
57,astar,3998,100676,73.087390,73.087400,3.071,1
57,rastar,4994,126410,73.087390,73.087400,2.792,1
57,mm,5165,131134,73.087390,73.087400,237.142,1
57,bae,7732,195362,73.087390,73.087400,4.157,1
57,nbs,5120,129964,73.087390,73.087400,2.652,1
57,gbfs,82,0,75.572671,73.087400,0.095,0
58,astar,3998,97019,90.938939,90.938900,2.485,1
58,rastar,5222,127465,90.938939,90.938900,2.962,1
58,mm,6595,161053,90.938939,90.938900,15.701,1
58,bae,3969,95529,90.938939,90.938900,2.290,1
58,nbs,7132,173555,90.938939,90.938900,3.443,1
58,gbfs,176,0,105.083261,90.938900,0.169,0
59,astar,3998,94633,93.186437,93.186400,2.173,1
59,rastar,5384,126137,93.186437,93.186400,2.696,1
59,mm,6952,164068,93.186437,93.186400,44.533,1
59,bae,8838,209009,93.822111,93.186400,4.296,0
59,nbs,7200,170129,93.186437,93.186400,3.388,1
59,gbfs,144,0,96.114640,93.186400,0.138,0
60,astar,4794,112714,101.964195,101.964000,2.736,1
60,rastar,27526,693937,101.964195,101.964000,16.020,1
60,mm,24942,627781,101.964195,101.964000,40.284,1
60,bae,13129,322635,101.964195,101.964000,7.258,1
60,nbs,10430,254615,101.964195,101.964000,5.586,1
60,gbfs,140,0,104.199307,101.964000,0.148,0
61,astar,4794,116805,113.358546,113.359000,3.071,1
61,rastar,14603,360870,113.358546,113.359000,8.240,1
61,mm,11431,281168,113.358546,113.359000,998.993,1
61,bae,8799,213716,113.948461,113.359000,5.146,0
61,nbs,9126,224202,113.358546,113.359000,4.394,1
61,gbfs,220,0,126.639610,113.359000,0.202,0
62,astar,4794,117868,76.673176,76.673200,2.780,1
62,rastar,7747,193000,76.673176,76.673200,4.174,1
62,mm,12444,308683,76.673176,76.673200,21.367,1
62,bae,10875,269281,76.673176,76.673200,5.815,1
62,nbs,9948,248482,76.673176,76.673200,5.013,1
62,gbfs,126,0,78.965705,76.673200,0.116,0
63,astar,4794,115301,49.899495,49.899500,2.750,1
63,rastar,6162,148167,49.899495,49.899500,3.309,1
63,mm,9713,234961,49.899495,49.899500,235.821,1
63,bae,7894,190647,49.899495,49.899500,4.176,1
63,nbs,8968,217612,49.899495,49.899500,4.706,1
63,gbfs,216,0,50.727922,49.899500,0.136,0
64,astar,4794,117487,210.750018,210.750000,3.025,1
64,rastar,341961,8706260,210.750018,210.750000,225.232,1
64,mm,211555,5445920,210.750018,210.750000,14980.350,1
64,bae,75249,1863523,210.750018,210.750000,49.007,1
64,nbs,15682,393635,210.750018,210.750000,7.387,1
64,gbfs,330,0,216.007768,210.750000,0.321,0
65,astar,4794,116200,121.108325,121.108000,6.849,1
65,rastar,20187,504323,121.108325,121.108000,11.631,1
65,mm,18879,469559,121.108325,121.108000,133.367,1
65,bae,12855,315300,121.108325,121.108000,8.348,1
65,nbs,10030,247529,121.108325,121.108000,5.308,1
65,gbfs,238,0,138.915088,121.108000,0.218,0
66,astar,4796,109526,115.410569,115.411000,2.836,1
66,rastar,61881,1566914,115.410569,115.411000,35.951,1
66,mm,48831,1231573,115.410569,115.411000,92.666,1
66,bae,53091,1334342,115.410569,115.411000,34.599,1
